month,metric,metric_name,unit,target_value,lower_is_better,average,maximum,minimum,achieved_days,valid_days,missing_days,achievement_rate
2026-02,sleep_duration,Sleep Duration,hours,6.5,False,6.375520833333333,8.373055555555556,2.6752777777777776,13,24,4,54.166666666666664
2026-02,steps,Steps,steps,15000.0,False,17461.464285714286,34317.0,7983.0,13,28,0,46.42857142857143
2026-02,active_energy,Active Energy Burned,kcal,500.0,False,457.9476785714281,848.8739999999984,271.6160000000001,8,28,0,28.57142857142857
2026-02,exercise_time,Exercise Time,minutes,30.0,False,49.68,310.0,3.0,13,25,3,52.0
2026-02,stand_hours,Stand Hours,hours,12.0,False,13.84,17.0,7.0,21,25,3,84.0
2026-02,sleep_onset,Sleep Onset Time,hours,25.5,True,25.49733333333333,29.55,22.9,13,25,3,52.0
2026-02,wake_time,Wake Time,hours,32.5,True,32.0243,32.985277777777775,30.51388888888889,19,25,3,76.0
2026-02,awake_count,Awake Count,times,1.0,True,3.2,7.0,0.0,2,25,3,8.0
2026-02,awake_duration,Awake Duration,minutes,5.0,True,9.694666666666667,27.583333333333332,0.0,9,25,3,36.0
2026-02,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,6.562666666666668,25.083333333333332,0.0,13,25,3,52.0
2026-02,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.317141203703702,31.63888888888889,29.1475,7,24,4,29.166666666666668
2026-03,sleep_duration,Sleep Duration,hours,6.5,False,6.381541218637993,7.935,3.5199999999999996,17,31,0,54.83870967741935
2026-03,steps,Steps,steps,15000.0,False,19892.967741935485,35256.0,9426.0,22,31,0,70.96774193548387
2026-03,active_energy,Active Energy Burned,kcal,500.0,False,502.4978709677412,1545.1360000000077,320.67699999999763,9,31,0,29.03225806451613
2026-03,exercise_time,Exercise Time,minutes,30.0,False,55.354838709677416,232.0,23.0,27,31,0,87.09677419354838
2026-03,stand_hours,Stand Hours,hours,12.0,False,13.709677419354838,17.0,11.0,29,31,0,93.54838709677419
2026-03,sleep_onset,Sleep Onset Time,hours,25.5,True,25.576881720430112,26.166666666666668,24.116666666666667,11,31,0,35.483870967741936
2026-03,wake_time,Wake Time,hours,32.5,True,32.17624551971326,33.49805555555555,29.70861111111111,22,31,0,70.96774193548387
2026-03,awake_count,Awake Count,times,1.0,True,2.7096774193548385,9.0,0.0,7,31,0,22.58064516129032
2026-03,awake_duration,Awake Duration,minutes,5.0,True,9.21075268817204,80.76666666666667,0.0,15,31,0,48.38709677419355
2026-03,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,6.701612903225807,72.23333333333333,0.0,19,31,0,61.29032258064516
2026-03,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.516099537037036,32.29,29.02388888888889,9,24,7,37.5
2026-04,sleep_duration,Sleep Duration,hours,6.5,False,6.7196851851851855,8.386388888888888,5.509999999999999,20,30,0,66.66666666666666
2026-04,steps,Steps,steps,15000.0,False,19094.2,32131.0,8160.0,22,30,0,73.33333333333333
2026-04,active_energy,Active Energy Burned,kcal,500.0,False,448.1063999999986,739.1019999999982,293.4400000000001,6,30,0,20.0
2026-04,exercise_time,Exercise Time,minutes,30.0,False,40.766666666666666,116.0,3.0,22,30,0,73.33333333333333
2026-04,stand_hours,Stand Hours,hours,12.0,False,13.3,16.0,10.0,27,30,0,90.0
2026-04,sleep_onset,Sleep Onset Time,hours,25.5,True,25.91222222222222,26.95,24.366666666666667,3,30,0,10.0
2026-04,wake_time,Wake Time,hours,32.5,True,32.86562962962963,34.14,31.789444444444445,8,30,0,26.666666666666668
2026-04,awake_count,Awake Count,times,1.0,True,3.966666666666667,16.0,1.0,5,30,0,16.666666666666664
2026-04,awake_duration,Awake Duration,minutes,5.0,True,13.935000000000002,129.91666666666669,0.5,9,30,0,30.0
2026-04,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,8.008888888888889,66.21666666666667,0.5,19,30,0,63.33333333333333
2026-04,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.575936213991767,32.51027777777778,29.008333333333333,12,27,3,44.44444444444444
2026-05,sleep_duration,Sleep Duration,hours,6.5,False,6.42989247311828,7.625555555555556,4.7491666666666665,15,31,0,48.38709677419355
2026-05,steps,Steps,steps,15000.0,False,19741.870967741936,33288.0,9330.0,27,31,0,87.09677419354838
2026-05,active_energy,Active Energy Burned,kcal,500.0,False,438.03167741935255,581.7860000000006,286.76099999999974,4,31,0,12.903225806451612
2026-05,exercise_time,Exercise Time,minutes,30.0,False,39.83870967741935,63.0,19.0,26,31,0,83.87096774193549
2026-05,stand_hours,Stand Hours,hours,12.0,False,12.709677419354838,17.0,10.0,22,31,0,70.96774193548387
2026-05,sleep_onset,Sleep Onset Time,hours,25.5,True,26.324193548387104,28.71666666666667,25.6,0,31,0,0.0
2026-05,wake_time,Wake Time,hours,32.5,True,32.81039426523297,34.43527777777778,31.08388888888889,7,31,0,22.58064516129032
2026-05,awake_count,Awake Count,times,1.0,True,2.032258064516129,5.0,0.0,13,31,0,41.935483870967744
2026-05,awake_duration,Awake Duration,minutes,5.0,True,6.2155913978494635,27.1,0.0,17,31,0,54.83870967741935
2026-05,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,4.725268817204301,20.066666666666663,0.0,18,31,0,58.06451612903226
2026-05,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.55174768518518,33.08916666666667,29.024166666666662,8,24,7,33.33333333333333
2026-06,sleep_duration,Sleep Duration,hours,6.5,False,6.401416666666666,8.328055555555556,3.035,14,30,0,46.666666666666664
2026-06,steps,Steps,steps,15000.0,False,18773.4,33216.0,7627.0,19,30,0,63.33333333333333
2026-06,active_energy,Active Energy Burned,kcal,500.0,False,425.1031666666633,612.5029999999833,281.5759999999958,9,30,0,30.0
2026-06,exercise_time,Exercise Time,minutes,30.0,False,36.666666666666664,68.0,13.0,16,30,0,53.333333333333336
2026-06,stand_hours,Stand Hours,hours,12.0,False,13.166666666666666,16.0,9.0,27,30,0,90.0
2026-06,sleep_onset,Sleep Onset Time,hours,25.5,True,25.841666666666665,26.9,23.7,7,30,0,23.333333333333332
2026-06,wake_time,Wake Time,hours,32.5,True,32.39625925925926,33.48638888888889,30.017222222222223,16,30,0,53.333333333333336
2026-06,awake_count,Awake Count,times,1.0,True,2.1333333333333333,6.0,0.0,10,30,0,33.33333333333333
2026-06,awake_duration,Awake Duration,minutes,5.0,True,9.882222222222223,122.4,0.0,14,30,0,46.666666666666664
2026-06,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,7.59277777777778,113.36666666666666,0.0,18,30,0,60.0
2026-06,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.781992753623186,32.341388888888886,29.31972222222222,12,23,7,52.17391304347826
